EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_Label,PerformanceRating_Label,JobSatisfaction_Label,EnvironmentSatisfaction_Label,WorkLifeBalance_Label,TenureBucket,AgeGroup,IncomeBand,AttritionFlag,SatisfactionIndex,HighRisk,AttritionProb,RiskTier
268,36,No,Travel_Rarely,933,Research & Development,20,5,Human Resources,2,Male,61,4,1,Healthcare Representative,4,Married,11347,22349,7,No,14,4,1,1,0,5,3,0,0,6,0,Doctor,Outstanding,Very High,Medium,High,<1 yr,36-45,10K-15K,0,2.5,0,0.3677,Medium
269,39,No,Travel_Frequently,534,Research & Development,5,1,Life Sciences,2,Male,40,3,5,Healthcare Representative,3,Married,5864,15291,3,Yes,21,3,3,2,15,1,1,15,0,3,0,Below College,Excellent,High,Medium,Low,10-20 yrs,36-45,3K-6K,0,2.25,1,0.3813,Medium
270,29,Yes,Travel_Frequently,218,Sales,8,2,Medical,2,Female,81,3,1,Sales Executive,4,Divorced,12696,26604,0,No,24,4,1,2,17,6,1,17,0,7,0,College,Outstanding,Very High,Medium,Low,10-20 yrs,26-35,10K-15K,1,2.0,1,0.578,Medium
271,54,No,Travel_Frequently,1170,Research & Development,25,2,Human Resources,2,Male,65,4,1,Research Scientist,4,Single,9444,18037,1,No,20,4,3,1,5,3,3,5,1,3,0,College,Outstanding,Very High,Medium,High,3-6 yrs,46-55,6K-10K,0,3.0,0,0.393,Medium
272,34,No,Travel_Rarely,1291,Research & Development,23,4,Technical Degree,3,Female,60,4,5,Manager,2,Single,16338,17685,7,No,19,3,2,2,1,3,1,1,1,4,0,Master,Excellent,Medium,High,Low,<1 yr,26-35,15K+,0,2.0,1,0.4601,Medium
273,40,No,Travel_Rarely,1122,Research & Development,10,5,Human Resources,1,Male,43,1,5,Research Director,2,Single,12463,10929,9,No,17,3,2,2,8,2,1,8,4,13,2,Doctor,Excellent,Medium,Low,Low,6-10 yrs,36-45,10K-15K,0,1.5,1,0.3714,Medium
274,43,No,Non-Travel,447,Human Resources,1,3,Human Resources,4,Male,92,1,2,Manager,2,Married,18910,5719,7,No,12,3,3,1,3,0,2,3,0,0,0,Bachelor,Excellent,Medium,Very High,Medium,1-3 yrs,36-45,15K+,0,2.75,1,0.3653,Medium
275,46,No,Non-Travel,638,Research & Development,11,3,Technical Degree,4,Male,81,1,2,Manager,4,Divorced,9131,24714,4,No,11,3,4,3,22,6,1,22,19,9,9,Bachelor,Excellent,Very High,Very High,Low,20+ yrs,46-55,6K-10K,0,3.25,0,0.302,Medium
276,50,Yes,Travel_Rarely,1419,Research & Development,3,4,Technical Degree,3,Male,83,4,1,Manager,2,Single,10909,18438,5,No,11,3,1,3,7,4,3,7,3,7,0,Master,Excellent,Medium,High,High,6-10 yrs,46-55,10K-15K,1,2.25,1,0.565,Medium
277,44,Yes,Travel_Rarely,1297,Research & Development,27,2,Other,4,Male,79,1,3,Laboratory Technician,3,Married,1942,13117,1,Yes,23,3,2,3,38,6,2,38,16,6,8,College,Excellent,High,Very High,Medium,20+ yrs,36-45,<3K,1,2.75,1,0.6936,High
278,42,No,Non-Travel,629,Research & Development,21,3,Medical,4,Male,83,2,2,Research Scientist,4,Married,18528,25041,8,No,13,3,2,3,24,0,1,24,14,10,0,Bachelor,Excellent,Very High,Very High,Low,20+ yrs,36-45,15K+,0,2.75,0,0.3085,Medium
279,27,No,Travel_Rarely,402,Research & Development,3,2,Technical Degree,4,Female,64,1,2,Research Director,3,Single,1009,26382,5,No,23,3,4,0,15,0,3,15,1,4,1,College,Excellent,High,Very High,High,10-20 yrs,26-35,<3K,0,3.5,0,0.4157,Medium
280,40,No,Non-Travel,301,Research & Development,15,4,Marketing,1,Male,59,4,3,Healthcare Representative,2,Married,5188,20448,8,Yes,24,3,2,1,34,4,4,34,15,15,0,Master,Excellent,Medium,Low,Very High,20+ yrs,36-45,3K-6K,0,2.25,1,0.3427,Medium
281,38,Yes,Travel_Rarely,255,Research & Development,17,2,Marketing,4,Male,84,4,3,Manager,4,Single,14596,13834,9,No,25,3,3,2,16,3,1,16,3,5,3,College,Excellent,Very High,Very High,Low,10-20 yrs,36-45,10K-15K,1,3.0,1,0.4935,Medium
282,38,No,Travel_Rarely,113,Research & Development,18,2,Medical,1,Female,30,2,5,Healthcare Representative,3,Married,10979,22567,2,No,20,3,4,2,17,6,4,17,7,0,2,College,Excellent,High,Low,Very High,10-20 yrs,36-45,10K-15K,0,3.0,0,0.2806,Low
283,60,No,Travel_Rarely,1143,Research & Development,8,2,Life Sciences,4,Female,44,3,2,Laboratory Technician,1,Married,15169,21678,5,No,12,3,2,1,26,5,2,26,1,7,1,College,Excellent,Low,Very High,Medium,20+ yrs,55+,15K+,0,2.25,1,0.3525,Medium
284,30,No,Travel_Rarely,855,Sales,23,3,Life Sciences,4,Female,54,2,4,Sales Executive,3,Married,10361,5855,9,No,14,3,4,2,14,2,3,14,13,8,13,Bachelor,Excellent,High,Very High,High,10-20 yrs,26-35,10K-15K,0,3.5,0,0.2902,Low
285,54,Yes,Non-Travel,988,Research & Development,13,1,Marketing,1,Male,49,4,4,Manager,4,Single,13353,15369,4,No,24,3,4,0,16,1,2,16,14,10,3,Below College,Excellent,Very High,Low,Medium,10-20 yrs,46-55,10K-15K,1,2.75,1,0.5845,Medium
286,50,No,Travel_Frequently,1296,Sales,10,5,Technical Degree,3,Female,45,3,1,Sales Executive,1,Divorced,15031,4751,8,No,25,3,2,3,4,3,4,4,3,15,2,Doctor,Excellent,Low,High,Very High,3-6 yrs,46-55,15K+,0,2.5,1,0.2759,Low
287,41,Yes,Travel_Rarely,544,Research & Development,3,2,Medical,4,Female,81,2,2,Laboratory Technician,2,Married,10086,2724,9,No,24,4,2,1,15,2,4,15,8,4,2,College,Outstanding,Medium,Very High,Very High,10-20 yrs,36-45,10K-15K,1,3.0,1,0.527,Medium
288,28,Yes,Travel_Rarely,221,Research & Development,20,2,Life Sciences,2,Male,94,2,4,Research Director,2,Married,9207,11445,0,Yes,18,3,2,2,14,5,4,14,1,9,0,College,Excellent,Medium,Medium,Very High,10-20 yrs,26-35,6K-10K,1,2.5,1,0.7224,High
289,34,No,Non-Travel,283,Sales,14,2,Life Sciences,2,Male,99,3,2,Sales Representative,3,Single,14456,11369,8,No,15,3,4,0,33,3,3,33,16,6,4,College,Excellent,High,Medium,High,20+ yrs,26-35,10K-15K,0,3.0,0,0.3697,Medium
290,21,No,Travel_Rarely,770,Research & Development,13,1,Human Resources,3,Male,30,2,2,Research Scientist,2,Single,4578,11488,4,No,15,3,3,2,18,6,4,18,9,9,7,Below College,Excellent,Medium,High,Very High,10-20 yrs,18-25,3K-6K,0,3.0,1,0.3805,Medium
291,42,No,Non-Travel,148,Sales,3,4,Marketing,2,Male,45,3,4,Sales Executive,3,Single,5734,10049,0,Yes,16,3,3,0,7,4,4,7,0,12,0,Master,Excellent,High,Medium,Very High,6-10 yrs,36-45,3K-6K,0,3.0,1,0.3997,Medium
292,47,Yes,Travel_Rarely,280,Sales,13,3,Technical Degree,1,Female,56,1,2,Sales Representative,3,Single,4466,15357,9,Yes,23,4,1,2,9,0,3,9,1,3,1,Bachelor,Outstanding,High,Low,High,6-10 yrs,46-55,3K-6K,1,2.0,1,0.6066,High
293,26,Yes,Travel_Rarely,1471,Research & Development,20,1,Medical,4,Male,47,3,3,Manufacturing Director,3,Married,10759,18233,7,No,22,3,2,3,4,4,4,4,2,14,2,Below College,Excellent,High,Very High,Very High,3-6 yrs,26-35,10K-15K,1,3.25,1,0.5757,Medium
294,38,No,Travel_Rarely,240,Research & Development,24,2,Life Sciences,4,Female,73,2,1,Research Scientist,3,Divorced,3372,20883,6,No,25,3,3,1,25,5,1,25,16,5,7,College,Excellent,High,Very High,Low,20+ yrs,36-45,3K-6K,0,2.75,0,0.2874,Low
295,37,No,Travel_Rarely,629,Sales,25,1,Human Resources,4,Male,79,1,5,Sales Executive,4,Married,10763,3329,5,Yes,25,3,1,3,21,1,4,21,10,1,4,Below College,Excellent,Very High,Very High,Very High,20+ yrs,36-45,10K-15K,0,3.25,1,0.3654,Medium
296,36,No,Non-Travel,683,Research & Development,23,1,Marketing,4,Male,43,4,4,Research Scientist,4,Single,10869,23501,1,Yes,15,3,1,3,22,4,3,22,16,3,11,Below College,Excellent,Very High,Very High,High,20+ yrs,36-45,10K-15K,0,3.0,1,0.3826,Medium
297,36,Yes,Non-Travel,570,Research & Development,9,1,Marketing,2,Male,81,4,5,Manufacturing Director,1,Married,13906,21011,4,No,15,3,2,2,12,5,4,12,9,4,5,Below College,Excellent,Low,Medium,Very High,10-20 yrs,36-45,10K-15K,1,2.25,1,0.3623,Medium
298,29,No,Travel_Rarely,1386,Sales,25,4,Medical,2,Male,79,4,1,Manager,1,Single,3523,14538,2,Yes,25,3,1,3,8,0,3,8,1,13,1,Master,Excellent,Low,Medium,High,6-10 yrs,26-35,3K-6K,0,1.75,1,0.5171,Medium
299,54,Yes,Travel_Rarely,242,Research & Development,16,5,Life Sciences,2,Female,46,2,3,Healthcare Representative,2,Married,17562,20834,1,No,24,3,3,1,19,3,4,19,5,8,4,Doctor,Excellent,Medium,Medium,Very High,10-20 yrs,46-55,15K+,1,2.75,1,0.5453,Medium
300,59,No,Non-Travel,806,Sales,23,3,Medical,1,Female,32,1,3,Sales Representative,4,Married,2144,16053,9,No,17,3,1,0,27,2,1,27,15,12,0,Bachelor,Excellent,Very High,Low,Low,20+ yrs,55+,<3K,0,1.75,1,0.3626,Medium
301,34,Yes,Travel_Rarely,1269,Sales,23,4,Medical,2,Male,91,3,3,Manager,1,Divorced,14534,16535,0,No,16,3,1,0,36,5,3,36,27,8,21,Master,Excellent,Low,Medium,High,20+ yrs,26-35,10K-15K,1,1.75,1,0.5477,Medium
302,54,No,Non-Travel,393,Research & Development,8,4,Other,2,Male,50,4,3,Laboratory Technician,4,Divorced,19738,11361,8,No,23,3,3,2,23,5,3,23,17,7,5,Master,Excellent,Very High,Medium,High,20+ yrs,46-55,15K+,0,3.0,0,0.2641,Low
303,56,No,Travel_Rarely,521,Research & Development,12,5,Human Resources,4,Male,62,4,4,Healthcare Representative,4,Single,2624,9057,1,Yes,23,3,1,1,32,6,3,32,0,12,0,Doctor,Excellent,Very High,Very High,High,20+ yrs,55+,<3K,0,3.0,1,0.4579,Medium
304,45,No,Non-Travel,663,Research & Development,26,4,Marketing,2,Female,30,1,4,Laboratory Technician,2,Married,4546,13631,0,No,24,3,1,1,19,1,3,19,2,14,2,Master,Excellent,Medium,Medium,High,10-20 yrs,36-45,3K-6K,0,2.0,1,0.3489,Medium
305,58,No,Travel_Frequently,516,Research & Development,28,1,Other,3,Male,99,1,2,Manager,2,Divorced,3528,26249,6,Yes,20,3,4,0,29,3,4,29,14,11,10,Below College,Excellent,Medium,High,Very High,20+ yrs,55+,3K-6K,0,3.25,1,0.4585,Medium
306,52,Yes,Travel_Rarely,760,Human Resources,12,1,Technical Degree,3,Male,85,1,2,Human Resources,3,Divorced,2151,12559,8,No,21,3,1,0,8,5,4,8,3,13,0,Below College,Excellent,High,High,Very High,6-10 yrs,46-55,<3K,1,2.75,1,0.5763,Medium
307,35,No,Travel_Rarely,1012,Research & Development,19,2,Marketing,4,Female,33,2,1,Manager,4,Married,4866,6294,5,No,12,4,1,3,16,5,1,16,9,3,4,College,Outstanding,Very High,Very High,Low,10-20 yrs,26-35,3K-6K,0,2.5,0,0.2345,Low
308,31,Yes,Non-Travel,1230,Research & Development,24,4,Marketing,2,Female,51,1,2,Manufacturing Director,3,Divorced,3765,11656,7,Yes,23,3,4,2,35,2,1,35,20,5,19,Master,Excellent,High,Medium,Low,20+ yrs,26-35,3K-6K,1,2.5,1,0.623,High
309,52,No,Travel_Rarely,1441,Research & Development,17,2,Human Resources,3,Male,87,3,1,Manager,3,Single,16877,15370,6,No,11,4,4,0,13,0,4,13,4,6,0,College,Outstanding,High,High,Very High,10-20 yrs,46-55,15K+,0,3.5,0,0.4113,Medium
310,58,No,Travel_Rarely,158,Sales,29,3,Technical Degree,3,Male,73,3,1,Sales Executive,3,Divorced,7728,20114,8,No,11,3,4,0,18,4,2,18,14,12,10,Bachelor,Excellent,High,High,Medium,10-20 yrs,55+,6K-10K,0,3.0,0,0.3369,Medium
311,24,No,Travel_Rarely,1115,Research & Development,15,1,Life Sciences,1,Female,86,4,1,Healthcare Representative,4,Single,1580,10149,6,No,14,3,2,1,6,6,3,6,6,0,1,Below College,Excellent,Very High,Low,High,3-6 yrs,18-25,<3K,0,2.5,0,0.314,Medium
312,58,Yes,Travel_Rarely,357,Sales,22,3,Technical Degree,4,Female,69,3,3,Sales Representative,4,Married,13801,16478,5,No,12,3,2,1,2,3,4,2,1,12,0,Bachelor,Excellent,Very High,Very High,Very High,1-3 yrs,55+,10K-15K,1,3.5,1,0.5548,Medium
313,30,No,Travel_Rarely,892,Sales,18,5,Life Sciences,3,Male,85,1,5,Manager,3,Divorced,13857,3123,0,No,16,3,3,1,32,2,1,32,14,0,7,Doctor,Excellent,High,High,Low,20+ yrs,26-35,10K-15K,0,2.5,0,0.2652,Low
314,35,No,Non-Travel,630,Human Resources,7,1,Technical Degree,3,Female,92,3,5,Human Resources,4,Single,1009,25577,8,No,22,3,1,0,31,2,3,31,9,3,5,Below College,Excellent,Very High,High,High,20+ yrs,26-35,<3K,0,2.75,0,0.2677,Low
315,54,No,Travel_Rarely,265,Research & Development,13,3,Medical,4,Female,68,4,4,Laboratory Technician,3,Married,2542,23005,9,No,22,3,3,2,10,4,1,10,7,2,2,Bachelor,Excellent,High,Very High,Low,6-10 yrs,46-55,<3K,0,2.75,0,0.2807,Low
316,30,Yes,Travel_Rarely,1148,Research & Development,19,5,Technical Degree,2,Male,36,2,1,Manager,1,Married,2366,19872,4,No,19,3,2,3,1,3,2,1,0,9,0,Doctor,Excellent,Low,Medium,Medium,<1 yr,26-35,<3K,1,1.75,1,0.7807,High
317,53,No,Travel_Rarely,103,Research & Development,16,3,Other,4,Male,43,3,3,Laboratory Technician,4,Divorced,1915,18648,1,No,20,4,1,2,25,3,3,25,11,3,11,Bachelor,Outstanding,Very High,Very High,High,20+ yrs,46-55,<3K,0,3.0,0,0.2772,Low
318,48,Yes,Non-Travel,102,Sales,11,5,Other,1,Male,47,4,2,Sales Executive,2,Divorced,9145,17366,7,No,21,3,1,0,3,6,2,3,2,12,2,Doctor,Excellent,Medium,Low,Medium,1-3 yrs,46-55,6K-10K,1,1.5,1,0.5445,Medium
319,19,No,Travel_Rarely,517,Sales,26,5,Human Resources,1,Female,84,4,2,Manager,2,Married,19999,20413,3,No,25,3,4,3,16,0,2,16,4,12,3,Doctor,Excellent,Medium,Low,Medium,10-20 yrs,18-25,15K+,0,2.25,1,0.3788,Medium
320,33,No,Travel_Rarely,461,Sales,5,1,Life Sciences,1,Male,85,1,4,Sales Representative,3,Married,12423,8874,2,No,24,3,2,2,16,3,2,16,9,8,5,Below College,Excellent,High,Low,Medium,10-20 yrs,26-35,10K-15K,0,2.0,0,0.3507,Medium
321,26,No,Non-Travel,1005,Research & Development,26,2,Marketing,3,Female,86,4,4,Laboratory Technician,1,Divorced,7518,5766,0,No,20,3,1,0,27,6,4,27,24,1,22,College,Excellent,Low,High,Very High,20+ yrs,26-35,6K-10K,0,2.25,1,0.4102,Medium
322,26,No,Travel_Rarely,468,Research & Development,2,5,Human Resources,2,Female,87,3,1,Manager,4,Married,17713,10587,4,No,18,3,4,2,29,5,1,29,25,13,7,Doctor,Excellent,Very High,Medium,Low,20+ yrs,26-35,15K+,0,2.75,0,0.315,Medium
323,55,No,Non-Travel,638,Research & Development,1,5,Other,1,Male,54,4,1,Manager,3,Married,6709,9056,2,No,14,3,1,0,39,4,3,39,7,3,4,Doctor,Excellent,High,Low,High,20+ yrs,46-55,6K-10K,0,2.0,0,0.3737,Medium
324,28,Yes,Travel_Rarely,979,Sales,16,1,Other,4,Female,99,4,2,Sales Representative,1,Married,15956,10299,3,No,23,3,2,1,22,3,4,22,21,6,9,Below College,Excellent,Low,Very High,Very High,20+ yrs,26-35,15K+,1,2.75,1,0.5428,Medium
325,39,No,Non-Travel,445,Human Resources,5,2,Life Sciences,1,Female,32,1,2,Human Resources,1,Married,8517,5563,8,No,22,4,3,2,23,0,1,23,19,1,15,College,Outstanding,Low,Low,Low,20+ yrs,36-45,6K-10K,0,1.5,1,0.3582,Medium
326,50,No,Travel_Rarely,830,Research & Development,25,4,Other,3,Male,50,1,2,Healthcare Representative,4,Single,14905,26455,6,Yes,12,3,3,1,28,2,4,28,24,7,11,Master,Excellent,Very High,High,Very High,20+ yrs,46-55,10K-15K,0,3.5,1,0.3702,Medium
327,53,Yes,Travel_Rarely,996,Research & Development,25,4,Other,1,Male,61,3,2,Manager,2,Single,16886,13098,4,Yes,11,3,1,1,3,5,1,3,3,9,0,Master,Excellent,Medium,Low,Low,1-3 yrs,46-55,15K+,1,1.25,1,0.7044,High
328,40,No,Travel_Rarely,1167,Research & Development,7,2,Life Sciences,2,Male,31,4,5,Research Scientist,2,Single,4760,9849,7,No,17,3,4,3,37,3,3,37,11,3,5,College,Excellent,Medium,Medium,High,20+ yrs,36-45,3K-6K,0,2.75,1,0.4602,Medium
329,51,No,Travel_Frequently,823,Research & Development,9,3,Other,1,Female,49,2,1,Research Director,1,Divorced,7446,15771,5,No,20,3,4,3,28,4,3,28,8,8,8,Bachelor,Excellent,Low,Low,High,20+ yrs,46-55,6K-10K,0,2.25,1,0.3998,Medium
330,26,No,Non-Travel,663,Sales,4,1,Marketing,2,Female,47,4,1,Manager,2,Married,11545,8035,9,No,13,4,4,2,18,3,3,18,9,13,9,Below College,Outstanding,Medium,Medium,High,10-20 yrs,26-35,10K-15K,0,2.75,1,0.285,Low
331,41,Yes,Travel_Rarely,1276,Research & Development,19,2,Medical,2,Male,83,2,2,Laboratory Technician,1,Married,2269,17104,1,Yes,24,3,2,0,26,6,3,26,15,0,3,College,Excellent,Low,Medium,High,20+ yrs,36-45,<3K,1,2.0,1,0.6543,High
332,25,Yes,Travel_Rarely,301,Research & Development,27,4,Human Resources,4,Female,65,3,3,Manufacturing Director,1,Married,1717,9959,6,No,16,3,3,3,28,1,1,28,9,6,9,Master,Excellent,Low,Very High,Low,20+ yrs,18-25,<3K,1,2.25,1,0.6269,High
333,24,Yes,Travel_Rarely,420,Sales,20,5,Marketing,2,Male,90,1,2,Sales Representative,1,Single,5448,5196,0,Yes,15,3,3,3,35,0,4,35,8,0,0,Doctor,Excellent,Low,Medium,Very High,20+ yrs,18-25,3K-6K,1,2.5,1,0.7325,High
334,53,No,Travel_Rarely,563,Sales,15,4,Marketing,3,Male,89,3,4,Manager,2,Married,14660,19569,2,No,15,3,1,1,34,2,3,34,25,10,24,Master,Excellent,Medium,High,High,20+ yrs,46-55,10K-15K,0,2.25,1,0.2691,Low
335,35,No,Travel_Rarely,1134,Sales,7,5,Medical,3,Male,65,1,3,Sales Representative,3,Divorced,2974,6131,0,No,22,3,3,1,5,1,3,5,2,9,1,Doctor,Excellent,High,High,High,3-6 yrs,26-35,<3K,0,3.0,0,0.329,Medium
336,20,Yes,Travel_Frequently,1350,Sales,24,1,Human Resources,2,Male,73,1,4,Sales Representative,2,Married,6141,21459,0,Yes,12,3,4,0,22,4,3,22,18,10,15,Below College,Excellent,Medium,Medium,High,20+ yrs,18-25,6K-10K,1,2.75,1,0.6576,High
337,45,No,Travel_Rarely,732,Research & Development,18,5,Marketing,2,Male,97,4,3,Healthcare Representative,3,Divorced,19999,2412,4,No,24,3,2,3,38,3,2,38,37,8,32,Doctor,Excellent,High,Medium,Medium,20+ yrs,36-45,15K+,0,2.25,0,0.2737,Low
338,23,Yes,Travel_Rarely,432,Research & Development,5,2,Other,1,Male,95,4,4,Laboratory Technician,2,Married,8863,10674,5,No,19,3,4,3,7,0,3,7,5,13,2,College,Excellent,Medium,Low,High,6-10 yrs,18-25,6K-10K,1,2.5,1,0.5709,Medium
339,38,Yes,Travel_Rarely,114,Research & Development,21,5,Medical,1,Male,73,1,2,Laboratory Technician,4,Married,19999,13151,2,Yes,21,3,4,0,1,5,3,1,0,11,0,Doctor,Excellent,Very High,Low,High,<1 yr,36-45,15K+,1,3.0,1,0.6787,High
340,45,No,Non-Travel,1180,Sales,29,3,Human Resources,4,Female,58,2,2,Sales Executive,4,Married,13766,5847,2,No,14,3,3,3,12,6,1,12,12,9,6,Bachelor,Excellent,Very High,Very High,Low,10-20 yrs,36-45,10K-15K,0,3.0,0,0.2565,Low
341,57,Yes,Travel_Rarely,1453,Research & Development,25,2,Technical Degree,1,Male,77,2,3,Laboratory Technician,2,Divorced,13067,10794,2,No,20,3,2,2,39,6,2,39,4,11,2,College,Excellent,Medium,Low,Medium,20+ yrs,55+,10K-15K,1,1.75,1,0.707,High
342,39,No,Travel_Rarely,1187,Research & Development,29,1,Life Sciences,3,Male,65,4,4,Research Scientist,4,Divorced,10354,26358,0,Yes,11,3,2,2,20,3,1,20,13,12,9,Below College,Excellent,Very High,High,Low,10-20 yrs,36-45,10K-15K,0,2.5,1,0.3977,Medium
343,53,Yes,Travel_Rarely,329,Sales,29,2,Other,1,Male,37,3,5,Sales Executive,4,Single,10162,3081,4,No,12,3,4,0,30,3,4,30,20,9,17,College,Excellent,Very High,Low,Very High,20+ yrs,46-55,10K-15K,1,3.25,1,0.4836,Medium
344,38,Yes,Non-Travel,110,Research & Development,13,3,Medical,4,Female,34,2,3,Manager,4,Married,11076,22739,0,No,19,3,1,1,35,3,2,35,1,11,0,Bachelor,Excellent,Very High,Very High,Medium,20+ yrs,36-45,10K-15K,1,2.75,1,0.6001,High
345,60,Yes,Travel_Rarely,1347,Research & Development,3,1,Life Sciences,4,Male,76,1,3,Research Scientist,4,Married,13613,26046,9,No,17,4,3,0,37,5,1,37,22,0,8,Below College,Outstanding,Very High,Very High,Low,20+ yrs,55+,10K-15K,1,3.0,1,0.3302,Medium
346,52,No,Travel_Rarely,641,Research & Development,28,4,Technical Degree,2,Male,72,4,1,Healthcare Representative,3,Married,10620,10216,9,No,20,3,1,2,26,3,1,26,11,2,11,Master,Excellent,High,Medium,Low,20+ yrs,46-55,10K-15K,0,1.75,1,0.3452,Medium
347,30,No,Travel_Rarely,621,Research & Development,6,3,Marketing,4,Female,39,4,3,Manager,1,Single,9945,10389,2,No,12,3,4,3,35,0,4,35,18,11,17,Bachelor,Excellent,Low,Very High,Very High,20+ yrs,26-35,6K-10K,0,3.25,1,0.3477,Medium
348,27,Yes,Travel_Rarely,1177,Sales,26,1,Marketing,2,Male,39,1,5,Sales Executive,3,Divorced,7819,21010,5,No,17,3,3,3,22,5,4,22,19,6,4,Below College,Excellent,High,Medium,Very High,20+ yrs,26-35,6K-10K,1,3.0,1,0.5673,Medium
349,27,No,Travel_Rarely,866,Research & Development,12,5,Human Resources,3,Male,35,3,2,Manager,1,Divorced,3846,10614,5,No,24,4,1,1,20,5,3,20,14,13,7,Doctor,Outstanding,Low,High,High,10-20 yrs,26-35,3K-6K,0,2.0,1,0.2908,Low
350,30,Yes,Travel_Rarely,1280,Research & Development,21,2,Medical,3,Female,45,1,4,Manager,1,Single,12007,19525,2,No,14,3,1,1,12,1,3,12,10,15,9,College,Excellent,Low,High,High,10-20 yrs,26-35,10K-15K,1,2.0,1,0.5971,Medium
351,54,No,Travel_Rarely,740,Research & Development,18,1,Medical,1,Male,89,3,1,Manager,2,Divorced,4021,25319,8,No,20,4,1,2,36,4,2,36,23,12,7,Below College,Outstanding,Medium,Low,Medium,20+ yrs,46-55,3K-6K,0,1.5,1,0.4113,Medium
352,55,No,Travel_Frequently,669,Research & Development,18,2,Human Resources,4,Male,55,4,4,Research Director,2,Single,15594,12245,7,No,12,3,3,1,25,5,2,25,16,0,2,College,Excellent,Medium,Very High,Medium,20+ yrs,46-55,15K+,0,2.75,1,0.3716,Medium
353,41,No,Travel_Rarely,504,Research & Development,4,5,Life Sciences,3,Male,50,3,2,Healthcare Representative,2,Single,9825,19504,2,No,22,3,1,0,39,1,4,39,24,14,1,Doctor,Excellent,Medium,High,Very High,20+ yrs,36-45,6K-10K,0,2.5,1,0.3097,Medium
354,19,No,Travel_Rarely,806,Sales,28,1,Marketing,2,Male,87,1,3,Manager,2,Single,3046,14359,4,No,14,3,2,2,6,0,2,6,5,4,0,Below College,Excellent,Medium,Medium,Medium,3-6 yrs,18-25,3K-6K,0,2.0,1,0.4429,Medium
355,39,No,Travel_Rarely,1028,Sales,20,4,Marketing,4,Male,70,4,5,Manager,2,Single,16336,6527,4,No,15,3,4,3,38,4,3,38,30,5,18,Master,Excellent,Medium,Very High,High,20+ yrs,36-45,15K+,0,3.25,1,0.2703,Low
356,34,No,Non-Travel,1212,Research & Development,23,3,Medical,4,Male,59,2,1,Research Scientist,3,Divorced,16354,25490,4,No,23,3,3,3,21,5,4,21,17,13,7,Bachelor,Excellent,High,Very High,Very High,20+ yrs,26-35,15K+,0,3.5,0,0.2452,Low
357,53,Yes,Travel_Rarely,692,Sales,14,1,Medical,2,Male,34,4,5,Sales Representative,3,Single,12846,14667,2,Yes,24,3,2,3,38,2,1,38,27,2,1,Below College,Excellent,High,Medium,Low,20+ yrs,46-55,10K-15K,1,2.0,1,0.6637,High
358,31,No,Travel_Rarely,285,Research & Development,28,5,Human Resources,4,Male,39,1,5,Research Scientist,4,Single,18744,8693,4,No,14,3,1,1,22,1,4,22,21,15,18,Doctor,Excellent,Very High,Very High,Very High,20+ yrs,26-35,15K+,0,3.25,0,0.3651,Medium
359,27,No,Travel_Rarely,994,Human Resources,14,1,Technical Degree,4,Female,40,1,5,Human Resources,3,Single,3930,6903,4,No,25,3,4,2,29,0,2,29,23,12,0,Below College,Excellent,High,Very High,Medium,20+ yrs,26-35,3K-6K,0,3.25,0,0.3507,Medium
360,52,Yes,Travel_Rarely,178,Research & Development,1,2,Life Sciences,3,Male,92,4,5,Research Director,3,Single,16922,2055,3,No,13,3,1,1,17,0,3,17,4,5,2,College,Excellent,High,High,High,10-20 yrs,46-55,15K+,1,2.5,1,0.5581,Medium
361,42,No,Travel_Rarely,244,Research & Development,11,1,Other,2,Male,36,4,2,Laboratory Technician,2,Single,2533,25142,3,No,16,4,2,0,17,0,3,17,11,3,5,Below College,Outstanding,Medium,Medium,High,10-20 yrs,36-45,<3K,0,2.25,1,0.3452,Medium
362,20,No,Travel_Rarely,113,Research & Development,22,4,Technical Degree,3,Female,88,4,5,Research Director,4,Married,3458,15414,1,Yes,11,3,1,2,9,6,1,9,9,5,6,Master,Excellent,Very High,High,Low,6-10 yrs,18-25,3K-6K,0,2.25,1,0.362,Medium
363,55,No,Non-Travel,101,Research & Development,27,1,Technical Degree,2,Female,41,3,5,Laboratory Technician,3,Single,2533,4263,8,Yes,18,3,3,1,38,4,1,38,7,5,7,Below College,Excellent,High,Medium,Low,20+ yrs,46-55,<3K,0,2.25,1,0.4527,Medium
364,34,No,Travel_Rarely,615,Research & Development,29,3,Medical,1,Male,93,2,2,Healthcare Representative,3,Divorced,10752,26596,6,Yes,22,3,2,3,29,3,4,29,28,15,19,Bachelor,Excellent,High,Low,Very High,20+ yrs,26-35,10K-15K,0,2.5,1,0.2872,Low
